"IdUbigeo","Departamento","Provincia","Distrito","Genero","TotalPoblacion","CantidadAfiliados","PorcentajeAP"
10202,AMAZONAS,BAGUA,ARAMANGO,FEMENINO,5809,5406,0.93
90102,HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,MASCULINO,2322,1075,0.46
60110,CAJAMARCA,CAJAMARCA,MATARA,MASCULINO,1895,1633,0.86
150101,LIMA,LIMA,LIMA,FEMENINO,139743,99051,0.71
200501,PIURA,PAITA,PAITA,MASCULINO,49194,33660,0.68
80901,CUSCO,LA CONVENCION,SANTA ANA,MASCULINO,17607,17374,0.99
120133,JUNIN,HUANCAYO,SAPALLANGA,FEMENINO,6231,9930,1.59
20508,ANCASH,BOLOGNESI,HUALLANCA,FEMENINO,4358,2883,0.66
51102,AYACUCHO,VILCAS HUAMAN,ACCOMARCA,FEMENINO,468,530,1.13
61002,CAJAMARCA,SAN MARCOS,CHANCAY,FEMENINO,1635,1753,1.07
131104,LA LIBERTAD,GRAN CHIMU,SAYAPULLO,MASCULINO,4035,3970,0.98
240304,TUMBES,ZARUMILLA,PAPAYAL,FEMENINO,2855,2870,1.01
120703,JUNIN,TARMA,HUARICOLCA,FEMENINO,1597,1088,0.68
211207,PUNO,SANDIA,SAN JUAN DEL ORO,FEMENINO,7283,1950,0.27
51102,AYACUCHO,VILCAS HUAMAN,ACCOMARCA,MASCULINO,558,530,0.95
10515,AMAZONAS,LUYA,PROVIDENCIA,MASCULINO,710,636,0.9
10602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,FEMENINO,1126,1188,1.06
210211,PUNO,AZANGARO,SAN ANTON,FEMENINO,4976,3868,0.78
30216,APURIMAC,ANDAHUAYLAS,TALAVERA,FEMENINO,8961,9194,1.03
50110,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,FEMENINO,25279,21517,0.85
100602,HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,MASCULINO,3840,3512,0.91
120908,JUNIN,CHUPACA,TRES DE DICIEMBRE,MASCULINO,1156,1135,0.98
120407,JUNIN,JAUJA,EL MANTARO,FEMENINO,1196,1025,0.86
210308,PUNO,CARABAYA,OLLACHEA,MASCULINO,2817,3168,1.12
150127,LIMA,LIMA,PUNTA NEGRA,FEMENINO,4245,2477,0.58
50906,AYACUCHO,SUCRE,MORCOLLA,FEMENINO,552,592,1.07
80904,CUSCO,LA CONVENCION,MARANURA,FEMENINO,3026,2692,0.89
50802,AYACUCHO,PAUCAR DEL SARA SARA,COLTA,MASCULINO,529,183,0.35
200502,PIURA,PAITA,AMOTAPE,FEMENINO,1244,817,0.66
250302,UCAYALI,PADRE ABAD,IRAZOLA,FEMENINO,5643,10020,1.78
81103,CUSCO,PAUCARTAMBO,CHALLABAMBA,FEMENINO,5766,4873,0.85
21401,ANCASH,OCROS,OCROS,FEMENINO,532,758,1.42
190307,PASCO,OXAPAMPA,VILLA RICA,FEMENINO,10480,8481,0.81
60601,CAJAMARCA,CUTERVO,CUTERVO,MASCULINO,29437,26978,0.92
10601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,FEMENINO,2660,2481,0.93
80802,CUSCO,ESPINAR,CONDOROMA,FEMENINO,700,433,0.62
50505,AYACUCHO,LA MAR,CHUNGUI,FEMENINO,3569,2854,0.8
200208,PIURA,AYABACA,SAPILLICA,FEMENINO,6346,6224,0.98
120405,JUNIN,JAUJA,CANCHAYLLO,MASCULINO,856,566,0.66
21406,ANCASH,OCROS,CONGAS,MASCULINO,559,398,0.71
21001,ANCASH,HUARI,HUARI,FEMENINO,5032,4609,0.92
21510,ANCASH,PALLASCA,SANTA ROSA,MASCULINO,479,445,0.93
200503,PIURA,PAITA,ARENAL,MASCULINO,524,399,0.76
40602,AREQUIPA,CONDESUYOS,ANDARAY,MASCULINO,291,211,0.73
30501,APURIMAC,COTABAMBAS,TAMBOBAMBA,MASCULINO,5944,6209,1.04
30409,APURIMAC,AYMARAES,LUCRE,FEMENINO,1089,887,0.81
210602,PUNO,HUANCANE,COJATA,FEMENINO,2236,2095,0.94
220708,SAN MARTIN,PICOTA,SHAMBOYACU,FEMENINO,6340,5379,0.85
100703,HUANUCO,MARANON,SAN BUENAVENTURA,MASCULINO,1419,1325,0.93
90301,HUANCAVELICA,ANGARAES,LIRCAY,FEMENINO,12270,10358,0.84
40118,AREQUIPA,AREQUIPA,SAN JUAN DE SIGUAS,FEMENINO,830,352,0.42
120121,JUNIN,HUANCAYO,HUAYUCACHI,FEMENINO,4101,5181,1.26
50613,AYACUCHO,LUCANAS,OTOCA,FEMENINO,1806,796,0.44
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,FEMENINO,441,345,0.78
100702,HUANUCO,MARANON,CHOLON,MASCULINO,4572,4481,0.98
20905,ANCASH,CORONGO,LA PAMPA,MASCULINO,505,443,0.88
60611,CAJAMARCA,CUTERVO,SANTA CRUZ,FEMENINO,1471,1370,0.93
190203,PASCO,DANIEL ALCIDES CARRION,GOYLLARISQUIZGA,FEMENINO,1931,212,0.11
150302,LIMA,CAJATAMBO,COPA,FEMENINO,416,437,1.05
40128,AREQUIPA,AREQUIPA,YURA,MASCULINO,13415,11216,0.84
150601,LIMA,HUARAL,HUARAL,FEMENINO,52682,41990,0.8
250204,UCAYALI,ATALAYA,YURUA,FEMENINO,1416,1213,0.86
210204,PUNO,AZANGARO,ASILLO,FEMENINO,8757,7900,0.9
160104,LORETO,MAYNAS,INDIANA,MASCULINO,5628,6233,1.11
50203,AYACUCHO,CANGALLO,LOS MOROCHUCOS,FEMENINO,4162,4396,1.06
120803,JUNIN,YAULI,HUAY HUAY,MASCULINO,564,349,0.62
150118,LIMA,LIMA,LURIGANCHO,MASCULINO,117815,78596,0.67
50614,AYACUCHO,LUCANAS,SAISA,MASCULINO,394,127,0.32
220507,SAN MARTIN,LAMAS,RUMISAPA,FEMENINO,1312,1254,0.96
160703,LORETO,DATEM DEL MARANON,MANSERICHE,MASCULINO,5261,6618,1.26
160401,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,MASCULINO,12092,14351,1.19
60602,CAJAMARCA,CUTERVO,CALLAYUC,FEMENINO,5348,5223,0.98
60502,CAJAMARCA,CONTUMAZA,CHILETE,MASCULINO,1445,2043,1.41
140306,LAMBAYEQUE,LAMBAYEQUE,MORROPE,FEMENINO,23684,24537,1.04
